"seller_id","warehouse_id","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"31995","50622","PEAXKASS112446223","PEEN- 2021- L","35003026","112446223","PEENGAX","2025-10-15","2025-10-16",,"2025-10-26","2025-10-26","2025-10-28",,"1",,"8756880233","5644809756","10756945943","a2c45a7b-62ae-4dba-a474-aa4b14ed752d","Return","8756880233","1727782937","1","100094525769","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYEC1070767363","MYSR1164727957",,"2025-11-13 15:33:03.000",,,,
"31995","50622","PEAXKASS113784541","PEEN- 2094- XL","35524159","113784541","PEENGAX","2025-09-30","2025-09-30",,"2025-10-06","2025-10-06","2025-10-07",,"1",,"8722208779","5623593055","10722155251","810c1e73-4b07-4896-bd97-c68472d0d5c9","Return","8722208779","1715175327","1","100087365399","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYEC1067812977","MYER1045635755",,"2025-11-21 14:39:39.000",,,,
"31995","50622","PEAXKASS112050462","PEEN-26003-S","34858673","112050462","PEENGAX","2025-10-09",,,,"1970-01-01",,"2025-10-10",,,"8744367051","5637118606","10744375489","9a1236ff-68ea-4039-a8f9-34ba39e23b08","RTO","8744367051","1723486075","1",,,,,"MYSC1218823630",,,,,,,
"31995","50622","PEAXKASS113784538","PEEN- 2094- S","35524159","113784538","PEENGAX","2025-09-30","2025-10-01",,"2025-10-06","2025-10-07","2025-10-08",,"1",,"8723057348","5624119680","10723005754","56220338-119f-4191-aca7-f9e671f8e78d","Return","8723057348","1716134654","1","100087894491","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYSP1300901250","MYSR1159889166",,"2025-10-18 17:49:28.000",,,,
"31995","50622","PEAXSARS117162942","RP- AIRAAVAT PATOLA- 508","36646503","117162942","PEENGAX","2025-10-10","2025-10-12",,"2025-10-15","2025-10-15","2025-10-16",,"1",,"8747157717","5638903947","10747178705","644eb772-8bca-4a89-8307-c9b86446e94d","Return","8747157717","1724166209","1","100091382975","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYSP1306846787","MYSR1162489695",,"2025-11-06 14:35:29.000",,,,
"31995","50622","PEAXKASS112050542","PEEN-26002-XL","34858690","112050542","PEENGAX","2025-09-29","2025-10-01",,"2025-10-04","2025-10-08","2025-10-11",,"1",,"8720956246","5622831201","10720901167","67d8efb4-818a-4476-80be-38ad32d9573f","Return","8720956246","1715175320","1","100088153665","OPEN_BOX_PICKUP","I do not need it anymore","DLS","MYSP1300260087","MYSR1160089503",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS113784541","PEEN- 2094- XL","35524159","113784541","PEENGAX","2025-09-30","2025-10-02",,"2025-10-06","2025-10-06","2025-10-07",,"1",,"8723746949","5624552592","10723695408","be9e0f47-2d7e-42b1-846a-95f1a6ca7c1b","Return","8723746949","1716134594","1","100087500247","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYSC1214929325","MYSR1159595925",,"2025-10-15 15:36:11.000",,,,
"31995","50622","PEAXSARS117158401","PEEN- MOOR SILK- 408","36644557","117158401","PEENGAX","2025-09-18","2025-09-24",,,"1970-01-01",,"2025-10-03",,,"8681414132","5601489638","10681340111","def43651-156f-48dd-9f0e-ead012ea94c8","RTO","8681414132","1701782318","1",,,,,"SF1842911426F",,,"2025-10-08 14:27:22.000",,,,
"31995","50622","PEAXKASS112050465","PEEN-26003-XL","34858673","112050465","PEENGAX","2025-10-03","2025-10-05",,,"1970-01-01",,"2025-10-08",,,"8731434343","5629196654","10731396290","7e714a85-6841-44c6-a4eb-dedf4b97828a","RTO","8731434343","1718776280","1",,,,,"MYSP1302726393",,,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050604","PEEN-26001-S","34858705","112050604","PEENGAX","2025-10-05","2025-10-07",,"2025-10-09","2025-10-10","2025-10-11",,"1",,"8736914398","5632374246","10736891517","557611a1-18b7-4d4b-8f65-168ba6727f49","Return","8736914398","1720802549","1","100089144875","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEP1086431049","MYSR1160832013",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXSARS117152688","PEEN- NOOR SILK- 507","36642924","117152688","PEENGAX","2025-10-01","2025-10-02",,"2025-10-05","2025-10-10","2025-10-13",,"1",,"8724633736","5625074774","10724582232","859b8c91-fbe8-4601-b81a-3c49b22799ca","Return","8724633736","1716134680","1","100089362356","OPEN_BOX_PICKUP","I do not need it anymore","DLS","MYSP1300901860","MYSR1160995546",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXCOORD118962405","PEEN- 502- S","37191993","118962405","PEENGAX","2025-10-02","2025-10-04",,"2025-10-06","2025-10-09","2025-10-10",,"1",,"8728786173","5627598657","10728742383","961ca11a-b254-41db-a343-7cb5c8ebed41","Return","8728786173","1717835269","1","100088833261","OPEN_BOX_PICKUP","Size too big","DLS","MYEP1085757332","MYSR1160594185",,"2025-10-18 17:49:28.000",,,,
"31995","50622","PEAXKASS112265992","PEEN-38001-S","34934702","112265992","PEENGAX","2025-09-29","2025-10-01",,"2025-10-06","2025-10-07","2025-10-08",,"1",,"8721405916","5623111495","10721350849","34475d91-f48c-4149-8f2c-2c360bc18b38","Return","8721405916","1715175297","1","100087668752","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEC1067813266","MYSR1159727950",,"2025-10-30 14:47:24.000",,,,
"31995","50622","PEAXSARS117162988","RP- KIRI SILK- 464","36646549","117162988","PEENGAX","2025-10-13","2025-10-15",,,"1970-01-01",,"2025-10-16",,,"8754017630","5643044252","10754066669","6bd3b609-ca86-4ed3-bd58-52dccf392a7d","RTO","8754017630","1726458643","1",,,,,"MYSC1220409941",,,"2025-11-06 14:35:29.000",,,,
"31995","50622","PEAXSARS117162935","RP- AIRAAVAT PATOLA- 505","36646496","117162935","PEENGAX","2025-10-05","2025-10-08",,,"1970-01-01",,"2025-10-09",,,"8734949680","5631246511","10734918761","2c06fc60-a398-4b5c-8c21-fa89b5610c19","RTO","8734949680","1720802540","1",,,,,"MYSC1217299952",,,"2025-10-16 16:06:56.000",,,,
"31995","50622","PEAXKASS112446126","PEEN-2031- M","35002953","112446126","PEENGAX","2025-09-30","2025-10-01",,"2025-10-05","2025-10-06","2025-10-06",,"1",,"8723027983","5624101628","10722976387","649c1ec9-f3e8-4cb8-9719-3bcfd6174b54","Return","8723027983","1716134664","1","100087282118","OPEN_BOX_PICKUP","Size is different","DLS","MYSC1214931213","MYSR1159436344",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXSARS114805910","PEEN- BASANTI- 6704","35910566","114805910","PEENGAX","2025-10-02","2025-10-04",,,"1970-01-01",,"2025-10-09",,,"8728738113","5627571262","10728694323","1337da66-be99-4dbd-aed4-5a13ac3fec42","RTO","8728738113","1717835127","1",,,,,"MYSC1215752736",,,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050462","PEEN-26003-S","34858673","112050462","PEENGAX","2025-10-08","2025-10-09",,"2025-10-11","2025-10-13","2025-10-13",,"1",,"8742783010","5636080035","10742787566","aa7f5f85-c927-4d78-8b94-b59e11a5fa72","Return","8742783010","1722848258","1","100090312745","OPEN_BOX_PICKUP","Size too big","DLS","MYSP1305890699","MYSR1161703922",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXCOORD118962405","PEEN- 502- S","37191993","118962405","PEENGAX","2025-10-01","2025-10-02",,,"1970-01-01",,"2025-10-05",,,"8724879265","5625227921","10724829441","82b141d1-a828-4652-9db6-7f315158fee9","RTO","8724879265","1716201132","1",,,,,"MYSC1214971306",,,"2025-10-11 14:48:21.000",,,,
"31995","50622","PEAXKASS115371273","PEEN- 2098- XXL","36106850","115371273","PEENGAX","2025-10-09","2025-10-11",,,"1970-01-01",,"2025-10-13",,,"8744923235","5637492813","10744935734","70f10c5b-4cd0-4448-ab8c-19dd03c2970b","RTO","8744923235","1723486099","1",,,,,"MYSC1218823728",,,"2025-11-06 14:35:29.000",,,,
"31995","50622","PEAXKASS112050435","PEEN-22001-S","34858667","112050435","PEENGAX","2025-10-02","2025-10-04",,"2025-10-11","2025-10-11","2025-10-13",,"1",,"8728943143","5627686085","10728899347","79c62ee3-1757-4c91-9acd-1bd01ed11fa8","Return","8728943143","1717835314","1","100089716102","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYSP1302036739","MYSR1161255787",,"2025-11-03 15:47:51.000",,,,
"31995","50622","PEAXKASS111863958","PEEN-9202-XL","34798681","111863958","PEENGAX","2025-10-05","2025-10-08",,"2025-10-13","2025-10-14","2025-10-16",,"1",,"8735193655","5631394263","10735166219","0e8c1430-6d38-46a0-9137-43684d0fe667","Return","8735193655","1720802514","1","100090801784","OPEN_BOX_PICKUP","Received a completely different product","DLS","MYEP1086432798","MYSR1162065583",,"2025-11-03 15:47:51.000",,,,
